candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
232,candidate-0232-helmut-marko,Helmut Marko,1943,RACING DRIVER,Austria,M,30,70.49,https://en.wikipedia.org/?curid=1233840,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
59,candidate-0059-gao-xingjian,Gao Xingjian,1940,WRITER,China,M,92,76.23,https://en.wikipedia.org/?curid=190441,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
219,candidate-0219-erwin-neher,Erwin Neher,1944,BIOLOGIST,Germany,M,53,70.67,https://en.wikipedia.org/?curid=762732,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
169,candidate-0169-robert-plant,Robert Plant,1948,SINGER,United Kingdom,M,65,71.68,https://en.wikipedia.org/?curid=100405,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
96,candidate-0096-jimmy-wales,Jimmy Wales,1966,INVENTOR,United States,M,185,75.20,https://en.wikipedia.org/?curid=3703446,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
245,candidate-0245-johann-deisenhofer,Johann Deisenhofer,1943,CHEMIST,Germany,M,50,70.19,https://en.wikipedia.org/?curid=569123,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
47,candidate-0047-john-holmes,John Holmes,1944,ACTOR,United States,M,33,76.70,https://en.wikipedia.org/?curid=88489,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
24,candidate-0024-zaha-hadid,Zaha Hadid,1950,ARCHITECT,Iraq,F,82,78.46,https://en.wikipedia.org/?curid=513402,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
137,candidate-0137-ri-kwang-hyok,Ri Kwang-hyok,1987,SOCCER PLAYER,North Korea,M,40,73.04,https://en.wikipedia.org/?curid=25309738,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
95,candidate-0095-susan-sarandon,Susan Sarandon,1946,ACTOR,United States,F,89,75.31,https://en.wikipedia.org/?curid=68323,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
107,candidate-0107-ernő-rubik,Ernő Rubik,1944,INVENTOR,Hungary,M,56,75.03,https://en.wikipedia.org/?curid=335331,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
99,candidate-0099-christoph-waltz,Christoph Waltz,1956,ACTOR,Austria,M,70,75.13,https://en.wikipedia.org/?curid=8104201,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
