candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
277,candidate-0277-fatema-mernissi,Fatema Mernissi,1940,WRITER,Morocco,F,43,69.53,https://en.wikipedia.org/?curid=295871,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
48,candidate-0048-j-k-rowling,J. K. Rowling,1965,WRITER,United Kingdom,F,133,76.63,https://en.wikipedia.org/?curid=16027,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
93,candidate-0093-michael-york,Michael York,1942,ACTOR,United Kingdom,M,43,75.33,https://en.wikipedia.org/?curid=526592,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
291,candidate-0291-luigi-riva,Luigi Riva,1944,SOCCER PLAYER,Italy,M,53,69.24,https://en.wikipedia.org/?curid=1110921,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
267,candidate-0267-anton-zeilinger,Anton Zeilinger,1945,PHYSICIST,Austria,M,52,69.76,https://en.wikipedia.org/?curid=918635,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
60,candidate-0060-keanu-reeves,Keanu Reeves,1964,ACTOR,Lebanon,M,106,76.23,https://en.wikipedia.org/?curid=16603,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
295,candidate-0295-jamal-khashoggi,Jamal Khashoggi,1958,WRITER,Saudi Arabia,M,75,69.21,https://en.wikipedia.org/?curid=5894884,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
82,candidate-0082-michael-gambon,Michael Gambon,1940,ACTOR,Ireland,M,63,75.66,https://en.wikipedia.org/?curid=163618,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
144,candidate-0144-nigel-mansell,Nigel Mansell,1953,RACING DRIVER,United Kingdom,M,52,72.62,https://en.wikipedia.org/?curid=228615,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
54,candidate-0054-beyoncé,Beyoncé,1981,SINGER,United States,F,150,76.38,https://en.wikipedia.org/?curid=83688,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
38,candidate-0038-annie-ernaux,Annie Ernaux,1940,WRITER,France,F,82,77.55,https://en.wikipedia.org/?curid=3854049,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
204,candidate-0204-christiane-nüsslein-volhard,Christiane Nüsslein-Volhard,1942,BIOLOGIST,Germany,F,65,70.90,https://en.wikipedia.org/?curid=222990,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
