candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
140,candidate-0140-abbas-kiarostami,Abbas Kiarostami,1940,FILM DIRECTOR,Iran,M,63,72.89,https://en.wikipedia.org/?curid=400421,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
66,candidate-0066-gwyneth-paltrow,Gwyneth Paltrow,1972,ACTOR,United States,F,118,76.11,https://en.wikipedia.org/?curid=42621,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
253,candidate-0253-dragan-džajić,Dragan Džajić,1946,SOCCER PLAYER,Serbia,M,40,70.03,https://en.wikipedia.org/?curid=2303386,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
55,candidate-0055-samuel-l-jackson,Samuel L. Jackson,1948,ACTOR,United States,M,84,76.35,https://en.wikipedia.org/?curid=54306,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
164,candidate-0164-marie-fredriksson,Marie Fredriksson,1958,SINGER,Sweden,F,47,71.81,https://en.wikipedia.org/?curid=562206,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
15,candidate-0015-haruki-murakami,Haruki Murakami,1949,WRITER,Japan,M,95,80.40,https://en.wikipedia.org/?curid=229198,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
202,candidate-0202-robert-palmer,Robert Palmer,1949,MUSICIAN,United Kingdom,M,30,70.93,https://en.wikipedia.org/?curid=327602,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
52,candidate-0052-diane-keaton,Diane Keaton,1946,ACTOR,United States,F,82,76.49,https://en.wikipedia.org/?curid=202664,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
104,candidate-0104-linda-mcmahon,Linda McMahon,1948,BUSINESSPERSON,United States,F,35,75.06,https://en.wikipedia.org/?curid=679668,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
134,candidate-0134-morrissey,Morrissey,1959,SINGER,United Kingdom,M,50,73.10,https://en.wikipedia.org/?curid=39912374,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
35,candidate-0035-denzel-washington,Denzel Washington,1954,ACTOR,United States,M,98,77.95,https://en.wikipedia.org/?curid=100692,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
85,candidate-0085-sebastião-salgado,Sebastião Salgado,1944,JOURNALIST,Brazil,M,43,75.59,https://en.wikipedia.org/?curid=340954,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
