candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
114,candidate-0114-klaus-meine,Klaus Meine,1948,SINGER,Germany,M,43,74.15,https://en.wikipedia.org/?curid=1798012,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
203,candidate-0203-flavio-briatore,Flavio Briatore,1950,BUSINESSPERSON,Italy,M,28,70.91,https://en.wikipedia.org/?curid=614426,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
283,candidate-0283-toshihide-maskawa,Toshihide Maskawa,1940,PHYSICIST,Japan,M,63,69.39,https://en.wikipedia.org/?curid=10899167,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
83,candidate-0083-j-m-coetzee,J. M. Coetzee,1940,WRITER,South Africa,M,94,75.60,https://en.wikipedia.org/?curid=333250,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
284,candidate-0284-piero-ferrari,Piero Ferrari,1945,BUSINESSPERSON,Italy,M,19,69.35,https://en.wikipedia.org/?curid=5876748,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
67,candidate-0067-jeffrey-epstein,Jeffrey Epstein,1953,BUSINESSPERSON,United States,M,51,76.09,https://en.wikipedia.org/?curid=6253522,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
184,candidate-0184-katalin-karikó,Katalin Karikó,1955,CHEMIST,Hungary,F,59,71.31,https://en.wikipedia.org/?curid=63780788,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
27,candidate-0027-tom-selleck,Tom Selleck,1945,ACTOR,United States,M,51,78.39,https://en.wikipedia.org/?curid=277451,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
263,candidate-0263-simone-inzaghi,Simone Inzaghi,1976,SOCCER PLAYER,Italy,M,44,69.86,https://en.wikipedia.org/?curid=3469367,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
102,candidate-0102-joe-pesci,Joe Pesci,1943,ACTOR,United States,M,65,75.08,https://en.wikipedia.org/?curid=277463,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
279,candidate-0279-serge-haroche,Serge Haroche,1944,PHYSICIST,Morocco,M,64,69.50,https://en.wikipedia.org/?curid=14661857,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
42,candidate-0042-cesária-évora,Cesária Évora,1941,SINGER,Cabo Verde,F,65,77.35,https://en.wikipedia.org/?curid=8611104,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
