candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
86,candidate-0086-mel-gibson,Mel Gibson,1956,ACTOR,United States,M,101,75.55,https://en.wikipedia.org/?curid=44219,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1,candidate-0001-al-pacino,Al Pacino,1940,ACTOR,United States,M,122,89.27,https://en.wikipedia.org/?curid=41906,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
194,candidate-0194-jon-fosse,Jon Fosse,1959,WRITER,Norway,M,66,71.09,https://en.wikipedia.org/?curid=782556,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
26,candidate-0026-debbie-harry,Debbie Harry,1945,SINGER,United States,F,48,78.41,https://en.wikipedia.org/?curid=15803791,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
231,candidate-0231-hank-marvin,Hank Marvin,1941,MUSICIAN,United Kingdom,M,24,70.50,https://en.wikipedia.org/?curid=727240,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
249,candidate-0249-joe-hisaishi,Joe Hisaishi,1950,MUSICIAN,Japan,M,50,70.11,https://en.wikipedia.org/?curid=573759,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
49,candidate-0049-herta-müller,Herta Müller,1953,WRITER,Romania,F,107,76.59,https://en.wikipedia.org/?curid=6151067,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
50,candidate-0050-georg-bednorz,Georg Bednorz,1950,PHYSICIST,Germany,M,69,76.58,https://en.wikipedia.org/?curid=7710506,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
146,candidate-0146-michel-houellebecq,Michel Houellebecq,1956,WRITER,Réunion,M,65,72.51,https://en.wikipedia.org/?curid=173813,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
229,candidate-0229-andriy-shevchenko,Andriy Shevchenko,1976,SOCCER PLAYER,Ukraine,M,78,70.58,https://en.wikipedia.org/?curid=616622,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
73,candidate-0073-tommy-lee-jones,Tommy Lee Jones,1946,ACTOR,United States,M,75,75.92,https://en.wikipedia.org/?curid=248127,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
41,candidate-0041-toto-cutugno,Toto Cutugno,1943,SINGER,Italy,M,74,77.36,https://en.wikipedia.org/?curid=263914,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
