candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
77,candidate-0077-elizabeth-blackburn,Elizabeth Blackburn,1948,BIOLOGIST,Australia,F,74,72.127899,https://en.wikipedia.org/?curid=989870,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
78,candidate-0078-gerhard-ertl,Gerhard Ertl,1936,CHEMIST,Germany,M,63,72.12297,https://en.wikipedia.org/?curid=13013746,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
79,candidate-0079-douglas-osheroff,Douglas Osheroff,1945,PHYSICIST,United States,M,61,72.034986,https://en.wikipedia.org/?curid=431890,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
80,candidate-0080-jean-marie-lehn,Jean-Marie Lehn,1939,CHEMIST,France,M,57,72.033077,https://en.wikipedia.org/?curid=1312121,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
81,candidate-0081-george-smoot,George Smoot,1945,PHYSICIST,United States,M,67,72.030406,https://en.wikipedia.org/?curid=7267936,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
82,candidate-0082-michael-houghton,Michael Houghton,1949,BIOLOGIST,United Kingdom,M,48,72.025765,https://en.wikipedia.org/?curid=41549416,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
83,candidate-0083-michel-mayor,Michel Mayor,1942,ASTRONOMER,Switzerland,M,62,72.004836,https://en.wikipedia.org/?curid=572654,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
84,candidate-0084-hugh-david-politzer,Hugh David Politzer,1949,PHYSICIST,United States,M,64,71.880813,https://en.wikipedia.org/?curid=30871443,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
85,candidate-0085-roger-d.-kornberg,Roger D. Kornberg,1947,CHEMIST,United States,M,65,71.856632,https://en.wikipedia.org/?curid=7284095,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
86,candidate-0086-horst-ludwig-störmer,Horst Ludwig Störmer,1949,PHYSICIST,Germany,M,66,71.828297,https://en.wikipedia.org/?curid=1621554,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
87,candidate-0087-dietrich-mateschitz,Dietrich Mateschitz,1944,BUSINESSPERSON,Austria,M,40,71.7946,https://en.wikipedia.org/?curid=1291735,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
88,candidate-0088-kurt-wüthrich,Kurt Wüthrich,1938,CHEMIST,Switzerland,M,57,71.778449,https://en.wikipedia.org/?curid=203291,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
89,candidate-0089-ralph-m.-steinman,Ralph M. Steinman,1943,BIOLOGIST,Canada,M,55,71.77197,https://en.wikipedia.org/?curid=13305393,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
90,candidate-0090-kip-thorne,Kip Thorne,1940,PHYSICIST,United States,M,62,71.677972,https://en.wikipedia.org/?curid=238517,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
91,candidate-0091-hugh-everett-iii,Hugh Everett III,1930,PHYSICIST,United States,M,34,71.677554,https://en.wikipedia.org/?curid=543420,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
92,candidate-0092-klaus-von-klitzing,Klaus von Klitzing,1943,PHYSICIST,Poland,M,68,71.636745,https://en.wikipedia.org/?curid=670471,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
93,candidate-0093-jules-a.-hoffmann,Jules A. Hoffmann,1941,BIOLOGIST,Luxembourg,M,54,71.616197,https://en.wikipedia.org/?curid=14449397,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
94,candidate-0094-theodor-w.-hänsch,Theodor W. Hänsch,1941,PHYSICIST,Germany,F,65,71.546247,https://en.wikipedia.org/?curid=2831019,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
95,candidate-0095-harry-kroto,Harry Kroto,1939,CHEMIST,United Kingdom,M,60,71.51428,https://en.wikipedia.org/?curid=14467,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
96,candidate-0096-barbara-liskov,Barbara Liskov,1939,COMPUTER SCIENTIST,United States,F,47,71.50032,https://en.wikipedia.org/?curid=1507538,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
97,candidate-0097-rupert-murdoch,Rupert Murdoch,1931,BUSINESSPERSON,Australia,M,77,71.45825,https://en.wikipedia.org/?curid=26091,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
98,candidate-0098-james-cronin,James Cronin,1931,PHYSICIST,United States,M,64,71.429705,https://en.wikipedia.org/?curid=396732,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
99,candidate-0099-david-lee,David Lee,1931,PHYSICIST,United States,M,61,71.412967,https://en.wikipedia.org/?curid=2006475,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
100,candidate-0100-paul-cohen,Paul Cohen,1934,MATHEMATICIAN,United States,M,39,71.363611,https://en.wikipedia.org/?curid=22994,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
101,candidate-0101-steven-weinberg,Steven Weinberg,1933,PHYSICIST,United States,M,74,71.326675,https://en.wikipedia.org/?curid=205859,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
102,candidate-0102-katalin-karikó,Katalin Karikó,1955,CHEMIST,Hungary,F,59,71.306628,https://en.wikipedia.org/?curid=63780788,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
103,candidate-0103-dennis-ritchie,Dennis Ritchie,1941,COMPUTER SCIENTIST,United States,M,84,71.286665,https://en.wikipedia.org/?curid=8218,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
104,candidate-0104-ei-ichi-negishi,Ei-ichi Negishi,1935,CHEMIST,China,M,63,71.283986,https://en.wikipedia.org/?curid=15858460,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
105,candidate-0105-melvin-schwartz,Melvin Schwartz,1932,PHYSICIST,United States,M,63,71.246403,https://en.wikipedia.org/?curid=2205765,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
106,candidate-0106-richard-branson,Richard Branson,1950,BUSINESSPERSON,United Kingdom,M,67,71.221352,https://en.wikipedia.org/?curid=93759,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
107,candidate-0107-n.-r.-narayana-murthy,N. R. Narayana Murthy,1946,BUSINESSPERSON,India,M,30,71.201167,https://en.wikipedia.org/?curid=465730,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
108,candidate-0108-bengt-i.-samuelsson,Bengt I. Samuelsson,1934,CHEMIST,Sweden,M,48,71.106773,https://en.wikipedia.org/?curid=498608,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
109,candidate-0109-john-e.-walker,John E. Walker,1941,CHEMIST,United Kingdom,M,55,71.020531,https://en.wikipedia.org/?curid=1890999,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
110,candidate-0110-michio-kaku,Michio Kaku,1947,PHYSICIST,United States,M,65,71.014445,https://en.wikipedia.org/?curid=348746,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
111,candidate-0111-larry-fink,Larry Fink,1952,BUSINESSPERSON,United States,M,25,71.011428,https://en.wikipedia.org/?curid=2152572,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
112,candidate-0112-aaron-ciechanover,Aaron Ciechanover,1947,BIOLOGIST,Israel,M,60,71.009026,https://en.wikipedia.org/?curid=1043968,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
