candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
441,candidate-0441-christopher-nolan,Christopher Nolan,1970,FILM DIRECTOR,United Kingdom,M,94,71.08,https://en.wikipedia.org/?curid=177840,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
299,candidate-0299-philip-larkin,Philip Larkin,1922,WRITER,United Kingdom,M,40,73.36,https://en.wikipedia.org/?curid=43923,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
22,candidate-0022-marlon-brando,Marlon Brando,1924,ACTOR,United States,M,134,82.91,https://en.wikipedia.org/?curid=19903,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
130,candidate-0130-leslie-nielsen,Leslie Nielsen,1926,ACTOR,Canada,M,72,77.80,https://en.wikipedia.org/?curid=55014,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
146,candidate-0146-f-sherwood-rowland,F. Sherwood Rowland,1927,CHEMIST,United States,M,57,77.30,https://en.wikipedia.org/?curid=637217,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
95,candidate-0095-steven-seagal,Steven Seagal,1952,ACTOR,United States,M,122,78.84,https://en.wikipedia.org/?curid=67404,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
45,candidate-0045-sean-connery,Sean Connery,1930,ACTOR,United Kingdom,M,125,81.18,https://en.wikipedia.org/?curid=26709,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
105,candidate-0105-debbie-harry,Debbie Harry,1945,SINGER,United States,F,48,78.41,https://en.wikipedia.org/?curid=15803791,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
460,candidate-0460-akira-suzuki,Akira Suzuki,1930,CHEMIST,Japan,M,64,70.85,https://en.wikipedia.org/?curid=26635194,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
324,candidate-0324-omar-sívori,Omar Sívori,1935,SOCCER PLAYER,Argentina,M,51,73.09,https://en.wikipedia.org/?curid=615785,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
7,candidate-0007-gabriel-garcía-márquez,Gabriel García Márquez,1927,WRITER,Colombia,M,162,86.19,https://en.wikipedia.org/?curid=27827075,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
72,candidate-0072-charles-bronson,Charles Bronson,1921,ACTOR,United States,M,93,79.90,https://en.wikipedia.org/?curid=208200,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
