candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
2898,candidate-2898-martin-st-louis,Martin St. Louis,1975,HOCKEY PLAYER,Canada,M,24,48.49,https://en.wikipedia.org/?curid=440032,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2398,candidate-2398-istván-kovács,István Kovács,1984,REFEREE,Romania,M,26,57.48,https://en.wikipedia.org/?curid=47803707,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1068,candidate-1068-george-eaton,George Eaton,1945,RACING DRIVER,Canada,M,20,60.50,https://en.wikipedia.org/?curid=1228395,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1350,candidate-1350-thae-su-nyein,Thae Su Nyein,2007,MODEL,Myanmar (Burma),F,23,57.46,https://en.wikipedia.org/?curid=73312378,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1490,candidate-1490-ian-thorpe,Ian Thorpe,1982,SWIMMER,Australia,M,55,55.83,https://en.wikipedia.org/?curid=147429,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
89,candidate-0089-j-m-coetzee,J. M. Coetzee,1940,WRITER,South Africa,M,94,75.60,https://en.wikipedia.org/?curid=333250,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2129,candidate-2129-adrian-năstase,Adrian Năstase,1950,LAWYER,Romania,M,39,62.91,https://en.wikipedia.org/?curid=395061,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2014,candidate-2014-malala-yousafzai,Malala Yousafzai,1997,SOCIAL ACTIVIST,Pakistan,F,126,66.51,https://en.wikipedia.org/?curid=33983258,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1032,candidate-1032-gabriela-andersen-schiess,Gabriela Andersen-Schiess,1945,ATHLETE,Switzerland,F,17,60.84,https://en.wikipedia.org/?curid=5873525,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
926,candidate-0926-gunnar-nilsson,Gunnar Nilsson,1948,RACING DRIVER,Sweden,M,25,61.88,https://en.wikipedia.org/?curid=1213859,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2199,candidate-2199-riad-al-asaad,Riad al-Asaad,1961,MILITARY PERSONNEL,Syria,M,20,61.32,https://en.wikipedia.org/?curid=33319476,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2691,candidate-2691-wang-liqin,Wang Liqin,1978,TABLE TENNIS PLAYER,China,M,28,52.03,https://en.wikipedia.org/?curid=2169289,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
