candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
2926,candidate-2926-wang-nan,Wang Nan,1978,TABLE TENNIS PLAYER,China,F,24,48.01,https://en.wikipedia.org/?curid=4444887,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1179,candidate-1179-vyacheslav-ivanov,Vyacheslav Ivanov,1938,ATHLETE,Russia,M,24,59.59,https://en.wikipedia.org/?curid=4605945,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
467,candidate-0467-alfred-schnittke,Alfred Schnittke,1934,COMPOSER,Russia,M,39,68.36,https://en.wikipedia.org/?curid=398228,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
913,candidate-0913-walter-godefroot,Walter Godefroot,1943,CYCLIST,Belgium,M,22,62.16,https://en.wikipedia.org/?curid=5929080,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1167,candidate-1167-gennady-golovkin,Gennady Golovkin,1982,BOXER,Kazakhstan,M,33,59.73,https://en.wikipedia.org/?curid=2613471,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1123,candidate-1123-toni-kukoč,Toni Kukoč,1968,BASKETBALL PLAYER,Croatia,M,43,60.07,https://en.wikipedia.org/?curid=322494,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
853,candidate-0853-terry-gou,Terry Gou,1950,BUSINESSPERSON,Taiwan,M,25,62.90,https://en.wikipedia.org/?curid=933792,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1458,candidate-1458-aurelio-galfetti,Aurelio Galfetti,1936,ARCHITECT,Switzerland,M,15,56.37,https://en.wikipedia.org/?curid=36937668,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2041,candidate-2041-toni-sailer,Toni Sailer,1935,SKIER,Austria,M,33,65.55,https://en.wikipedia.org/?curid=206426,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1047,candidate-1047-gaston-roelants,Gaston Roelants,1937,ATHLETE,Belgium,M,23,60.66,https://en.wikipedia.org/?curid=656294,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
73,candidate-0073-isabel-allende,Isabel Allende,1942,WRITER,Peru,F,73,76.20,https://en.wikipedia.org/?curid=157994,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
83,candidate-0083-ronnie-james-dio,Ronnie James Dio,1942,MUSICIAN,United States,M,67,75.75,https://en.wikipedia.org/?curid=149435,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
