candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
34,candidate-0034-ridley-scott,Ridley Scott,1937,FILM DIRECTOR,United Kingdom,M,79,78.61,https://en.wikipedia.org/?curid=25493,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1098,candidate-1098-yelena-isinbayeva,Yelena Isinbayeva,1982,ATHLETE,Russia,F,73,60.27,https://en.wikipedia.org/?curid=888001,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2721,candidate-2721-niklas-landin-jacobsen,Niklas Landin Jacobsen,1988,HANDBALL PLAYER,Denmark,M,28,51.50,https://en.wikipedia.org/?curid=17861774,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2368,candidate-2368-madeleine-berthod,Madeleine Berthod,1931,SKIER,Switzerland,F,21,58.00,https://en.wikipedia.org/?curid=4670663,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2765,candidate-2765-mike-harrington,Mike Harrington,2000,GAME DESIGNER,,M,25,50.83,https://en.wikipedia.org/?curid=1756866,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
937,candidate-0937-gisele-bündchen,Gisele Bündchen,1980,MODEL,Brazil,F,76,61.77,https://en.wikipedia.org/?curid=926934,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1448,candidate-1448-vladimir-bagirov,Vladimir Bagirov,1936,CHESS PLAYER,Azerbaijan,M,20,56.46,https://en.wikipedia.org/?curid=12426834,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
489,candidate-0489-caetano-veloso,Caetano Veloso,1942,MUSICIAN,Brazil,M,41,68.24,https://en.wikipedia.org/?curid=177278,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
98,candidate-0098-quentin-tarantino,Quentin Tarantino,1963,FILM DIRECTOR,United States,M,106,75.35,https://en.wikipedia.org/?curid=25169,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2686,candidate-2686-gerlinde-kaltenbrunner,Gerlinde Kaltenbrunner,1970,MOUNTAINEER,Austria,F,20,52.18,https://en.wikipedia.org/?curid=17486179,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
617,candidate-0617-raymond-poulidor,Raymond Poulidor,1936,CYCLIST,France,M,31,67.29,https://en.wikipedia.org/?curid=284355,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1191,candidate-1191-ivan-marchuk,Ivan Marchuk,1936,PAINTER,Ukraine,M,25,59.48,https://en.wikipedia.org/?curid=14016703,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
