candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
2397,candidate-2397-tina-maze,Tina Maze,1983,SKIER,Slovenia,F,47,57.49,https://en.wikipedia.org/?curid=1311814,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1842,candidate-1842-lorena-ochoa,Lorena Ochoa,1981,GOLFER,Mexico,F,21,43.48,https://en.wikipedia.org/?curid=2126052,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1039,candidate-1039-imre-földi,Imre Földi,1938,ATHLETE,Hungary,M,24,60.77,https://en.wikipedia.org/?curid=15866277,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1217,candidate-1217-carlos-alcaraz,Carlos Alcaraz,2003,TENNIS PLAYER,Spain,M,54,59.07,https://en.wikipedia.org/?curid=63121147,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1591,candidate-1591-osmo-vänskä,Osmo Vänskä,1953,CONDUCTOR,Finland,M,17,53.93,https://en.wikipedia.org/?curid=380231,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2231,candidate-2231-natalya-estemirova,Natalya Estemirova,1958,SOCIAL ACTIVIST,Russia,F,39,60.48,https://en.wikipedia.org/?curid=23616237,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
158,candidate-0158-nina-simone,Nina Simone,1933,SINGER,United States,F,75,74.43,https://en.wikipedia.org/?curid=214233,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
588,candidate-0588-peter-shilton,Peter Shilton,1949,SOCCER PLAYER,United Kingdom,M,53,67.55,https://en.wikipedia.org/?curid=413285,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2637,candidate-2637-toller-cranston,Toller Cranston,1949,SKATER,Canada,M,18,52.96,https://en.wikipedia.org/?curid=2000031,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
117,candidate-0117-jean-louis-trintignant,Jean-Louis Trintignant,1930,ACTOR,France,M,52,75.04,https://en.wikipedia.org/?curid=155772,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
78,candidate-0078-paul-auster,Paul Auster,1947,WRITER,United States,M,59,75.86,https://en.wikipedia.org/?curid=25022,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1599,candidate-1599-hans-jacobson,Hans Jacobson,1947,FENCER,Sweden,M,15,53.67,https://en.wikipedia.org/?curid=27210628,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
