candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
10,candidate-0010-danny-devito,Danny DeVito,1944,ACTOR,United States,M,82,82.24,https://en.wikipedia.org/?curid=104940,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1765,candidate-1765-lou-yun,Lou Yun,1964,GYMNAST,China,M,17,47.94,https://en.wikipedia.org/?curid=5028000,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2222,candidate-2222-jiří-holeček,Jiří Holeček,1944,HOCKEY PLAYER,Czechia,M,20,60.78,https://en.wikipedia.org/?curid=5346944,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1313,candidate-1313-fabian-cancellara,Fabian Cancellara,1981,CYCLIST,Switzerland,M,45,57.82,https://en.wikipedia.org/?curid=3064125,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2192,candidate-2192-viktor-tikhonov,Viktor Tikhonov,1930,HOCKEY PLAYER,Russia,M,29,61.49,https://en.wikipedia.org/?curid=3078473,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2796,candidate-2796-cliff-thorburn,Cliff Thorburn,1948,SNOOKER,Canada,F,24,50.41,https://en.wikipedia.org/?curid=626663,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1220,candidate-1220-marc-william-buie,Marc William Buie,1958,ASTRONOMER,,M,23,59.02,https://en.wikipedia.org/?curid=760560,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1359,candidate-1359-andriy-medvedev,Andriy Medvedev,1974,TENNIS PLAYER,Ukraine,M,26,57.40,https://en.wikipedia.org/?curid=702849,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
428,candidate-0428-hiroto-muraoka,Hiroto Muraoka,1931,SOCCER PLAYER,Japan,M,48,68.76,https://en.wikipedia.org/?curid=25864437,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
180,candidate-0180-björn-borg,Björn Borg,1956,TENNIS PLAYER,Sweden,M,76,74.07,https://en.wikipedia.org/?curid=4601,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1562,candidate-1562-tamás-gábor,Tamás Gábor,1932,FENCER,Hungary,M,17,54.68,https://en.wikipedia.org/?curid=9122392,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1829,candidate-1829-ulrich-robeiri,Ulrich Robeiri,1982,FENCER,French Guiana,F,20,44.03,https://en.wikipedia.org/?curid=7315644,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
