candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1031,candidate-1031-rebecca-horn,Rebecca Horn,1944,SCULPTOR,Germany,F,22,60.85,https://en.wikipedia.org/?curid=1931224,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
147,candidate-0147-julie-andrews,Julie Andrews,1935,ACTOR,United Kingdom,F,84,74.56,https://en.wikipedia.org/?curid=78239,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1956,candidate-1956-aleksandr-dugin,Aleksandr Dugin,1962,POLITICAL SCIENTIST,Russia,M,57,70.18,https://en.wikipedia.org/?curid=929468,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2451,candidate-2451-jean-tabary,Jean Tabary,1930,COMIC ARTIST,Sweden,M,15,56.48,https://en.wikipedia.org/?curid=11817248,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2305,candidate-2305-bjørn-wirkola,Bjørn Wirkola,1943,SKIER,Norway,M,16,59.18,https://en.wikipedia.org/?curid=1611586,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1930,candidate-1930-gabor-maté,Gabor Maté,1944,PHYSICIAN,Hungary,M,19,73.99,https://en.wikipedia.org/?curid=16880262,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2016,candidate-2016-leila-khaled,Leila Khaled,1944,SOCIAL ACTIVIST,Israel,F,41,66.45,https://en.wikipedia.org/?curid=661497,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2498,candidate-2498-abu-qatada,Abu Qatada,1960,MAFIOSO,,M,18,55.71,https://en.wikipedia.org/?curid=2739046,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2802,candidate-2802-joel-aguilar,Joel Aguilar,1975,REFEREE,El Salvador,M,27,50.31,https://en.wikipedia.org/?curid=12039787,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2867,candidate-2867-igor-vori,Igor Vori,1980,HANDBALL PLAYER,Croatia,M,27,48.97,https://en.wikipedia.org/?curid=15543085,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
416,candidate-0416-nicko-mcbrain,Nicko McBrain,1952,MUSICIAN,United Kingdom,M,40,68.87,https://en.wikipedia.org/?curid=712477,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1137,candidate-1137-salvatore-sciarrino,Salvatore Sciarrino,1947,COMPOSER,Italy,M,20,59.97,https://en.wikipedia.org/?curid=3910755,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
