candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
140,candidate-0140-tim-burton,Tim Burton,1958,FILM DIRECTOR,United States,M,82,74.69,https://en.wikipedia.org/?curid=31501,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
901,candidate-0901-laurent-fignon,Laurent Fignon,1960,CYCLIST,France,M,39,62.35,https://en.wikipedia.org/?curid=556345,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
310,candidate-0310-nina-hagen,Nina Hagen,1955,SINGER,Germany,F,57,70.30,https://en.wikipedia.org/?curid=464271,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2839,candidate-2839-erling-kagge,Erling Kagge,1963,EXPLORER,Norway,M,16,49.41,https://en.wikipedia.org/?curid=4145312,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2516,candidate-2516-zara-whites,Zara Whites,1968,PORNOGRAPHIC ACTOR,Netherlands,F,15,55.40,https://en.wikipedia.org/?curid=7402942,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2591,candidate-2591-steven-bradbury,Steven Bradbury,1973,SKATER,Australia,M,24,54.01,https://en.wikipedia.org/?curid=1799036,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1280,candidate-1280-djamolidine-abdoujaparov,Djamolidine Abdoujaparov,1964,CYCLIST,Uzbekistan,M,29,58.24,https://en.wikipedia.org/?curid=2181367,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1713,candidate-1713-carme-pigem,Carme Pigem,1962,ARCHITECT,,F,16,50.51,https://en.wikipedia.org/?curid=48361290,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1809,candidate-1809-gabriela-potorac,Gabriela Potorac,1973,GYMNAST,Romania,F,19,45.09,https://en.wikipedia.org/?curid=19945741,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
920,candidate-0920-martina-hingis,Martina Hingis,1980,TENNIS PLAYER,Slovakia,F,77,61.99,https://en.wikipedia.org/?curid=19047,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2275,candidate-2275-karol-divín,Karol Divín,1936,SKATER,Hungary,M,21,59.71,https://en.wikipedia.org/?curid=10960486,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2610,candidate-2610-marco-antonio-rodríguez,Marco Antonio Rodríguez,1973,REFEREE,Mexico,M,29,53.72,https://en.wikipedia.org/?curid=5508067,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
