candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
2186,candidate-2186-rasim-delić,Rasim Delić,1949,MILITARY PERSONNEL,Bosnia and Herzegovina,M,22,61.61,https://en.wikipedia.org/?curid=13668047,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1301,candidate-1301-đurđica-bjedov,Đurđica Bjedov,1947,SWIMMER,Croatia,F,24,57.95,https://en.wikipedia.org/?curid=2622090,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1516,candidate-1516-ara-shiraz,Ara Shiraz,1941,SCULPTOR,Armenia,M,20,55.56,https://en.wikipedia.org/?curid=25027531,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2236,candidate-2236-miriam-rodríguez-martínez,Miriam Rodríguez Martínez,1967,SOCIAL ACTIVIST,Mexico,F,30,60.41,https://en.wikipedia.org/?curid=63320327,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2105,candidate-2105-guillermo-mordillo,Guillermo Mordillo,1932,COMIC ARTIST,Argentina,F,23,63.51,https://en.wikipedia.org/?curid=8091498,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
121,candidate-0121-albert-fert,Albert Fert,1938,PHYSICIST,France,M,73,74.95,https://en.wikipedia.org/?curid=1810816,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
576,candidate-0576-andoni-zubizarreta,Andoni Zubizarreta,1961,SOCCER PLAYER,Spain,M,46,67.65,https://en.wikipedia.org/?curid=1469739,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2143,candidate-2143-franz-klammer,Franz Klammer,1953,SKIER,Austria,M,27,62.59,https://en.wikipedia.org/?curid=457394,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2956,candidate-2956-hayat-sindi,Hayat Sindi,1967,PHYSICIAN,Saudi Arabia,F,20,47.52,https://en.wikipedia.org/?curid=34578712,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
531,candidate-0531-beate-klarsfeld,Beate Klarsfeld,1939,JOURNALIST,Germany,F,31,67.98,https://en.wikipedia.org/?curid=1850023,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2948,candidate-2948-tina-kandelaki,Tina Kandelaki,1975,PRESENTER,Georgia,F,18,47.58,https://en.wikipedia.org/?curid=19433161,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1686,candidate-1686-yasser-seirawan,Yasser Seirawan,1960,CHESS PLAYER,Syria,M,30,51.37,https://en.wikipedia.org/?curid=161508,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
