candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1429,candidate-1429-rené-pijnen,René Pijnen,1946,CYCLIST,Netherlands,M,18,56.67,https://en.wikipedia.org/?curid=4660455,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2747,candidate-2747-kong-linghui,Kong Linghui,1975,TABLE TENNIS PLAYER,China,M,26,51.14,https://en.wikipedia.org/?curid=13094505,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2840,candidate-2840-martin-hansson,Martin Hansson,1971,REFEREE,Sweden,M,26,49.40,https://en.wikipedia.org/?curid=12039869,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
660,candidate-0660-bertrand-blier,Bertrand Blier,1939,FILM DIRECTOR,France,M,36,66.58,https://en.wikipedia.org/?curid=145797,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1911,candidate-1911-william-anders,William Anders,1933,ASTRONAUT,Hong Kong,M,51,75.54,https://en.wikipedia.org/?curid=82925,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2541,candidate-2541-olegário-benquerença,Olegário Benquerença,1969,REFEREE,Portugal,M,26,54.98,https://en.wikipedia.org/?curid=8920265,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
773,candidate-0773-dieter-schwarz,Dieter Schwarz,1939,BUSINESSPERSON,Germany,M,17,63.70,https://en.wikipedia.org/?curid=9626943,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2404,candidate-2404-agnes-simon,Agnes Simon,1935,TABLE TENNIS PLAYER,Hungary,F,17,57.41,https://en.wikipedia.org/?curid=31950653,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1563,candidate-1563-peter-chen,Peter Chen,1947,ENGINEER,Taiwan,M,17,54.66,https://en.wikipedia.org/?curid=1041520,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1131,candidate-1131-eduard-artemyev,Eduard Artemyev,1937,COMPOSER,Russia,M,26,60.03,https://en.wikipedia.org/?curid=3875474,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
681,candidate-0681-viktor-belenko,Viktor Belenko,1947,ENGINEER,Russia,M,25,65.86,https://en.wikipedia.org/?curid=387911,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
707,candidate-0707-toshio-suzuki,Toshio Suzuki,1948,PRODUCER,Japan,M,28,65.14,https://en.wikipedia.org/?curid=3654485,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
