candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1586,candidate-1586-abel-laudonio,Abel Laudonio,1938,BOXER,Argentina,M,16,54.03,https://en.wikipedia.org/?curid=15093314,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2750,candidate-2750-yves-rossy,Yves Rossy,1959,PILOT,Switzerland,M,20,51.10,https://en.wikipedia.org/?curid=8604266,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
478,candidate-0478-kurt-hamrin,Kurt Hamrin,1934,SOCCER PLAYER,Sweden,M,37,68.28,https://en.wikipedia.org/?curid=1594225,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2309,candidate-2309-nicola-rizzoli,Nicola Rizzoli,1971,REFEREE,Italy,M,42,59.13,https://en.wikipedia.org/?curid=20759240,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2944,candidate-2944-wang-tao,Wang Tao,1967,TABLE TENNIS PLAYER,China,M,17,47.68,https://en.wikipedia.org/?curid=17720515,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2829,candidate-2829-tomasz-wójtowicz,Tomasz Wójtowicz,1953,VOLLEYBALL PLAYER,Poland,M,17,49.60,https://en.wikipedia.org/?curid=18266178,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2413,candidate-2413-sunny-leone,Sunny Leone,1981,PORNOGRAPHIC ACTOR,Canada,F,65,57.19,https://en.wikipedia.org/?curid=377337,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1568,candidate-1568-ecaterina-stahl-iencic,Ecaterina Stahl-Iencic,1946,FENCER,Romania,F,17,54.56,https://en.wikipedia.org/?curid=26703368,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1922,candidate-1922-yevgeny-prigozhin,Yevgeny Prigozhin,1961,MILITARY PERSONNEL,Russia,M,78,74.76,https://en.wikipedia.org/?curid=53406808,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2219,candidate-2219-jaromír-jágr,Jaromír Jágr,1972,HOCKEY PLAYER,Czechia,M,40,60.83,https://en.wikipedia.org/?curid=255202,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1157,candidate-1157-ljubomir-ljubojević,Ljubomir Ljubojević,1950,CHESS PLAYER,Serbia,M,23,59.79,https://en.wikipedia.org/?curid=2630149,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2861,candidate-2861-slobodan-kovač,Slobodan Kovač,1967,VOLLEYBALL PLAYER,Serbia,M,17,49.02,https://en.wikipedia.org/?curid=7363928,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
