candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
2213,candidate-2213-ken-saro-wiwa,Ken Saro-Wiwa,1941,SOCIAL ACTIVIST,Nigeria,M,42,61.00,https://en.wikipedia.org/?curid=330970,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1310,candidate-1310-dith-pran,Dith Pran,1942,JOURNALIST,Cambodia,M,25,57.85,https://en.wikipedia.org/?curid=323932,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1376,candidate-1376-tadej-pogačar,Tadej Pogačar,1998,CYCLIST,Slovenia,M,45,57.26,https://en.wikipedia.org/?curid=54455866,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1113,candidate-1113-vladimir-kramnik,Vladimir Kramnik,1975,CHESS PLAYER,Russia,M,67,60.13,https://en.wikipedia.org/?curid=99647,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
961,candidate-0961-luboš-kohoutek,Luboš Kohoutek,1935,ASTRONOMER,Czechia,M,32,61.44,https://en.wikipedia.org/?curid=591690,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1171,candidate-1171-louis-andriessen,Louis Andriessen,1939,COMPOSER,Netherlands,M,29,59.70,https://en.wikipedia.org/?curid=18214,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
318,candidate-0318-valentino,Valentino,1932,DESIGNER,Italy,M,31,70.11,https://en.wikipedia.org/?curid=919815,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1802,candidate-1802-pak-se-ri,Pak Se-ri,1977,GOLFER,South Korea,F,17,45.35,https://en.wikipedia.org/?curid=1171582,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1125,candidate-1125-ruzena-bajcsy,Ruzena Bajcsy,1933,COMPUTER SCIENTIST,Slovakia,F,19,60.06,https://en.wikipedia.org/?curid=21410069,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
980,candidate-0980-trevor-berbick,Trevor Berbick,1954,BOXER,Jamaica,M,27,61.30,https://en.wikipedia.org/?curid=437554,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1985,candidate-1985-carla-del-ponte,Carla Del Ponte,1947,LAWYER,Switzerland,F,38,68.24,https://en.wikipedia.org/?curid=1381178,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2136,candidate-2136-teresa-orlowski,Teresa Orlowski,1953,PORNOGRAPHIC ACTOR,Poland,F,17,62.75,https://en.wikipedia.org/?curid=5269231,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
