candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
9,candidate-0009-david-lynch,David Lynch,1946,FILM DIRECTOR,United States,M,85,82.53,https://en.wikipedia.org/?curid=7891,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1553,candidate-1553-george-lusztig,George Lusztig,1946,MATHEMATICIAN,Romania,M,20,54.87,https://en.wikipedia.org/?curid=2789856,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
675,candidate-0675-fritjof-capra,Fritjof Capra,1939,PHYSICIST,Austria,M,35,66.07,https://en.wikipedia.org/?curid=78971,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
241,candidate-0241-michael-houghton,Michael Houghton,1949,BIOLOGIST,United Kingdom,M,48,72.03,https://en.wikipedia.org/?curid=41549416,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1643,candidate-1643-cícero-moraes,Cícero Moraes,1982,SCULPTOR,Brazil,M,42,52.61,https://en.wikipedia.org/?curid=46660511,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
876,candidate-0876-pyotr-bolotnikov,Pyotr Bolotnikov,1930,ATHLETE,Russia,M,36,62.62,https://en.wikipedia.org/?curid=846803,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1972,candidate-1972-rolf-m-zinkernagel,Rolf M. Zinkernagel,1944,PHYSICIAN,Switzerland,M,48,69.17,https://en.wikipedia.org/?curid=1702186,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1990,candidate-1990-terry-wogan,Terry Wogan,1938,PRESENTER,Ireland,M,26,67.71,https://en.wikipedia.org/?curid=233249,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1665,candidate-1665-gauri-khan,Gauri Khan,1970,PRODUCER,India,F,31,52.00,https://en.wikipedia.org/?curid=2458226,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
682,candidate-0682-zurab-tsereteli,Zurab Tsereteli,1934,PAINTER,Georgia,M,37,65.82,https://en.wikipedia.org/?curid=6870129,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
969,candidate-0969-helena-christensen,Helena Christensen,1968,MODEL,Denmark,F,32,61.36,https://en.wikipedia.org/?curid=1536256,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
383,candidate-0383-julian-barnes,Julian Barnes,1946,WRITER,United Kingdom,M,52,69.11,https://en.wikipedia.org/?curid=209892,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
