candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1093,candidate-1093-viktor-tsybulenko,Viktor Tsybulenko,1930,ATHLETE,Ukraine,M,22,60.29,https://en.wikipedia.org/?curid=7788784,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2200,candidate-2200-gottfried-helnwein,Gottfried Helnwein,1948,ARTIST,Austria,M,27,61.31,https://en.wikipedia.org/?curid=544685,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2793,candidate-2793-johan-andersson,Johan Andersson,1974,GAME DESIGNER,Sweden,M,17,50.45,https://en.wikipedia.org/?curid=1621145,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
470,candidate-0470-hélène-cixous,Hélène Cixous,1937,WRITER,Algeria,F,45,68.36,https://en.wikipedia.org/?curid=168445,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2787,candidate-2787-alberto-undiano-mallenco,Alberto Undiano Mallenco,1973,REFEREE,Spain,M,27,50.54,https://en.wikipedia.org/?curid=12045058,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
48,candidate-0048-denzel-washington,Denzel Washington,1954,ACTOR,United States,M,98,77.95,https://en.wikipedia.org/?curid=100692,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2267,candidate-2267-romualdo-arppi-filho,Romualdo Arppi Filho,1939,REFEREE,Brazil,M,17,59.80,https://en.wikipedia.org/?curid=9193725,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1030,candidate-1030-gustavo-kuerten,Gustavo Kuerten,1976,TENNIS PLAYER,Brazil,M,45,60.85,https://en.wikipedia.org/?curid=483149,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2168,candidate-2168-emanuel-ungaro,Emanuel Ungaro,1933,FASHION DESIGNER,France,M,17,61.88,https://en.wikipedia.org/?curid=3125223,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1918,candidate-1918-jan-palach,Jan Palach,1948,SOCIAL ACTIVIST,Czechia,M,59,75.04,https://en.wikipedia.org/?curid=620359,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2441,candidate-2441-suheil-al-hassan,Suheil al-Hassan,1970,MILITARY PERSONNEL,Syria,M,19,56.66,https://en.wikipedia.org/?curid=44226488,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1564,candidate-1564-phil-ramone,Phil Ramone,1934,INVENTOR,South Africa,M,24,54.63,https://en.wikipedia.org/?curid=649883,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
