candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1617,candidate-1617-gyula-sax,Gyula Sax,1951,CHESS PLAYER,Hungary,M,17,53.26,https://en.wikipedia.org/?curid=2459180,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1305,candidate-1305-luis-ayala,Luis Ayala,1932,TENNIS PLAYER,Chile,M,16,57.90,https://en.wikipedia.org/?curid=10713383,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
153,candidate-0153-frank-zappa,Frank Zappa,1940,MUSICIAN,United States,M,79,74.50,https://en.wikipedia.org/?curid=10672,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1541,candidate-1541-istván-bilek,István Bilek,1932,CHESS PLAYER,Hungary,M,19,55.00,https://en.wikipedia.org/?curid=4571087,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
835,candidate-0835-alexandre-desplat,Alexandre Desplat,1961,COMPOSER,France,M,48,63.04,https://en.wikipedia.org/?curid=4882421,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2727,candidate-2727-vladimir-maksimov,Vladimir Maksimov,1945,HANDBALL PLAYER,Kyrgyzstan,M,16,51.40,https://en.wikipedia.org/?curid=12737692,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
342,candidate-0342-bryan-ferry,Bryan Ferry,1945,SINGER,United Kingdom,M,46,69.61,https://en.wikipedia.org/?curid=105436,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
959,candidate-0959-amir-pnueli,Amir Pnueli,1941,COMPUTER SCIENTIST,Israel,M,30,61.45,https://en.wikipedia.org/?curid=308365,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2586,candidate-2586-zhong-nanshan,Zhong Nanshan,1936,PHYSICIAN,China,M,21,54.07,https://en.wikipedia.org/?curid=39999358,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1879,candidate-1879-sepp-straka,Sepp Straka,1993,GOLFER,Austria,M,7,27.24,https://en.wikipedia.org/?curid=61462577,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1340,candidate-1340-carlos-sastre,Carlos Sastre,1975,CYCLIST,Spain,M,47,57.55,https://en.wikipedia.org/?curid=2604768,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1692,candidate-1692-osamu-muramatsu,Osamu Muramatsu,1949,ASTRONOMER,,M,16,51.15,https://en.wikipedia.org/?curid=759593,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
