candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
536,candidate-0536-samuel-eto-o,Samuel Eto'o,1981,SOCCER PLAYER,Cameroon,M,78,67.93,https://en.wikipedia.org/?curid=1303679,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1367,candidate-1367-benoni-beheyt,Benoni Beheyt,1940,CYCLIST,,M,16,57.33,https://en.wikipedia.org/?curid=7338515,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
15,candidate-0015-sean-connery,Sean Connery,1930,ACTOR,United Kingdom,M,125,81.18,https://en.wikipedia.org/?curid=26709,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
181,candidate-0181-ornella-muti,Ornella Muti,1955,ACTOR,Italy,F,60,74.06,https://en.wikipedia.org/?curid=309149,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1134,candidate-1134-albert-s-ruddy,Albert S. Ruddy,1930,PRODUCER,Canada,M,17,60.02,https://en.wikipedia.org/?curid=1560196,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2742,candidate-2742-kyros-vassaras,Kyros Vassaras,1966,REFEREE,Greece,M,21,51.19,https://en.wikipedia.org/?curid=12461665,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
379,candidate-0379-miroslav-klose,Miroslav Klose,1978,SOCCER PLAYER,Poland,M,91,69.12,https://en.wikipedia.org/?curid=201840,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
209,candidate-0209-paul-verhoeven,Paul Verhoeven,1938,FILM DIRECTOR,Netherlands,M,53,73.20,https://en.wikipedia.org/?curid=66206,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1029,candidate-1029-letizia-battaglia,Letizia Battaglia,1935,JOURNALIST,Italy,F,17,60.85,https://en.wikipedia.org/?curid=13405282,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2817,candidate-2817-david-ortiz,David Ortiz,1975,BASEBALL PLAYER,Dominican Republic,M,24,49.91,https://en.wikipedia.org/?curid=738625,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2071,candidate-2071-eiichiro-oda,Eiichiro Oda,1975,COMIC ARTIST,Japan,M,54,64.67,https://en.wikipedia.org/?curid=360756,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1082,candidate-1082-judy-tegart-dalton,Judy Tegart-Dalton,1937,TENNIS PLAYER,Australia,F,21,60.37,https://en.wikipedia.org/?curid=5782642,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
