candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1740,candidate-1740-greg-norman,Greg Norman,1955,GOLFER,Australia,M,22,49.62,https://en.wikipedia.org/?curid=157447,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
400,candidate-0400-arie-haan,Arie Haan,1948,SOCCER PLAYER,Netherlands,M,34,68.97,https://en.wikipedia.org/?curid=3044159,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1226,candidate-1226-francisco-j-ayala,Francisco J. Ayala,1934,BIOLOGIST,Spain,M,26,58.95,https://en.wikipedia.org/?curid=2282082,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
715,candidate-0715-borislav-ivkov,Borislav Ivkov,1933,CHESS PLAYER,Serbia,M,24,64.86,https://en.wikipedia.org/?curid=4697403,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2366,candidate-2366-gulnara-karimova,Gulnara Karimova,1972,SOCIAL ACTIVIST,Uzbekistan,F,37,58.02,https://en.wikipedia.org/?curid=1898790,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
776,candidate-0776-eduardo-souto-de-moura,Eduardo Souto de Moura,1952,ARCHITECT,Portugal,M,32,63.68,https://en.wikipedia.org/?curid=12587505,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1061,candidate-1061-rosemarie-ackermann,Rosemarie Ackermann,1952,ATHLETE,Germany,F,29,60.55,https://en.wikipedia.org/?curid=671534,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1502,candidate-1502-bang-si-hyuk,Bang Si-hyuk,1972,PRODUCER,South Korea,M,21,55.76,https://en.wikipedia.org/?curid=54718511,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
485,candidate-0485-kazuyoshi-miura,Kazuyoshi Miura,1967,SOCCER PLAYER,Japan,M,64,68.26,https://en.wikipedia.org/?curid=733681,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1469,candidate-1469-tetsuo-okamoto,Tetsuo Okamoto,1932,SWIMMER,Brazil,M,18,56.13,https://en.wikipedia.org/?curid=5895500,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
227,candidate-0227-jostein-gaarder,Jostein Gaarder,1952,WRITER,Norway,M,56,72.58,https://en.wikipedia.org/?curid=233546,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1585,candidate-1585-rodrigo-valdez,Rodrigo Valdez,1946,BOXER,Colombia,M,14,54.15,https://en.wikipedia.org/?curid=484053,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
