candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
566,candidate-0566-jafar-panahi,Jafar Panahi,1960,FILM DIRECTOR,Iran,M,50,67.72,https://en.wikipedia.org/?curid=1578699,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
143,candidate-0143-shirley-maclaine,Shirley MacLaine,1934,ACTOR,United States,F,75,74.63,https://en.wikipedia.org/?curid=147368,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2116,candidate-2116-narges-mohammadi,Narges Mohammadi,1972,SOCIAL ACTIVIST,Iran,F,75,63.13,https://en.wikipedia.org/?curid=36888767,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
280,candidate-0280-aaron-ciechanover,Aaron Ciechanover,1947,BIOLOGIST,Israel,M,60,71.01,https://en.wikipedia.org/?curid=1043968,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1801,candidate-1801-vijay-singh,Vijay Singh,1963,GOLFER,Fiji,M,27,45.37,https://en.wikipedia.org/?curid=426484,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1529,candidate-1529-carlos-latuff,Carlos Latuff,1968,PAINTER,Brazil,M,27,55.27,https://en.wikipedia.org/?curid=685631,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1041,candidate-1041-ercole-baldini,Ercole Baldini,1933,CYCLIST,Italy,M,25,60.75,https://en.wikipedia.org/?curid=3684646,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1228,candidate-1228-ruth-arnon,Ruth Arnon,1933,BIOLOGIST,Israel,F,22,58.93,https://en.wikipedia.org/?curid=5057839,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1888,candidate-1888-michael-collins,Michael Collins,1930,ASTRONAUT,Italy,M,80,81.19,https://en.wikipedia.org/?curid=97666,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
391,candidate-0391-gheorghe-zamfir,Gheorghe Zamfir,1941,MUSICIAN,Romania,M,35,69.05,https://en.wikipedia.org/?curid=12248,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2486,candidate-2486-john-shalikashvili,John Shalikashvili,1936,MILITARY PERSONNEL,Poland,M,20,55.81,https://en.wikipedia.org/?curid=436890,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
297,candidate-0297-stieg-larsson,Stieg Larsson,1954,WRITER,Sweden,M,62,70.63,https://en.wikipedia.org/?curid=11240679,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
