candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
946,candidate-0946-myroslav-skoryk,Myroslav Skoryk,1938,COMPOSER,Ukraine,M,28,61.62,https://en.wikipedia.org/?curid=3143897,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1828,candidate-1828-timur-miroshnychenko,Timur Miroshnychenko,1986,JOURNALIST,Ukraine,M,20,44.06,https://en.wikipedia.org/?curid=39719155,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1855,candidate-1855-eric-adjetey-anang,Eric Adjetey Anang,1985,SCULPTOR,Ghana,F,19,41.55,https://en.wikipedia.org/?curid=26828418,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1535,candidate-1535-vija-celmins,Vija Celmins,1938,PAINTER,Latvia,F,19,55.15,https://en.wikipedia.org/?curid=1311870,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1498,candidate-1498-imre-gedővári,Imre Gedővári,1951,FENCER,Hungary,M,18,55.79,https://en.wikipedia.org/?curid=5139655,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
116,candidate-0116-tim-berners-lee,Tim Berners-Lee,1955,COMPUTER SCIENTIST,United Kingdom,M,140,75.05,https://en.wikipedia.org/?curid=30034,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2489,candidate-2489-walter-steiner,Walter Steiner,1951,SKIER,Switzerland,M,17,55.79,https://en.wikipedia.org/?curid=5717355,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1826,candidate-1826-hong-un-jong,Hong Un-jong,1989,GYMNAST,,F,21,44.14,https://en.wikipedia.org/?curid=18740421,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
621,candidate-0621-hisao-kami,Hisao Kami,1941,SOCCER PLAYER,Japan,M,51,67.26,https://en.wikipedia.org/?curid=20641684,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1294,candidate-1294-boris-mikhailov,Boris Mikhailov,1938,PHOTOGRAPHER,Ukraine,M,16,58.02,https://en.wikipedia.org/?curid=10451941,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1425,candidate-1425-vladimir-yengibaryan,Vladimir Yengibaryan,1932,BOXER,Armenia,M,16,56.70,https://en.wikipedia.org/?curid=14793477,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2405,candidate-2405-fujio-akatsuka,Fujio Akatsuka,1935,COMIC ARTIST,China,M,17,57.40,https://en.wikipedia.org/?curid=5678603,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
