candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
62,candidate-0062-david-hasselhoff,David Hasselhoff,1952,ACTOR,United States,M,58,77.80,https://en.wikipedia.org/?curid=166103,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
289,candidate-0289-roman-abramovich,Roman Abramovich,1966,BUSINESSPERSON,Russia,M,58,68.68,https://en.wikipedia.org/?curid=353535,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
207,candidate-0207-michael-houghton,Michael Houghton,1949,BIOLOGIST,United Kingdom,M,48,72.03,https://en.wikipedia.org/?curid=41549416,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
213,candidate-0213-horst-ludwig-störmer,Horst Ludwig Störmer,1949,PHYSICIST,Germany,M,66,71.83,https://en.wikipedia.org/?curid=1621554,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
225,candidate-0225-rivaldo,Rivaldo,1972,SOCCER PLAYER,Brazil,M,73,71.53,https://en.wikipedia.org/?curid=258947,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
307,candidate-0307-uli-hoeneß,Uli Hoeneß,1952,BUSINESSPERSON,Germany,M,46,67.71,https://en.wikipedia.org/?curid=4034867,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
5,candidate-0005-martin-scorsese,Martin Scorsese,1942,FILM DIRECTOR,United States,M,96,85.42,https://en.wikipedia.org/?curid=18995,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
83,candidate-0083-brian-may,Brian May,1947,MUSICIAN,United Kingdom,M,79,76.75,https://en.wikipedia.org/?curid=42069,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
154,candidate-0154-javier-solana,Javier Solana,1942,PHYSICIST,Spain,M,49,73.63,https://en.wikipedia.org/?curid=391110,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
390,candidate-0390-grigory-margulis,Grigory Margulis,1946,MATHEMATICIAN,Russia,M,38,64.14,https://en.wikipedia.org/?curid=1104948,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
292,candidate-0292-carlos-sainz,Carlos Sainz,1962,RACING DRIVER,Spain,M,41,68.50,https://en.wikipedia.org/?curid=407139,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
313,candidate-0313-alain-aspect,Alain Aspect,1947,PHYSICIST,France,M,56,67.36,https://en.wikipedia.org/?curid=1307592,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
