candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
159,candidate-0159-goran-bregović,Goran Bregović,1950,MUSICIAN,Bosnia and Herzegovina,M,47,73.47,https://en.wikipedia.org/?curid=12309,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
247,candidate-0247-lilian-thuram,Lilian Thuram,1972,SOCCER PLAYER,Guadeloupe,M,67,70.94,https://en.wikipedia.org/?curid=615841,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
229,candidate-0229-paul-breitner,Paul Breitner,1951,SOCCER PLAYER,Germany,M,57,71.43,https://en.wikipedia.org/?curid=430849,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
191,candidate-0191-jostein-gaarder,Jostein Gaarder,1952,WRITER,Norway,M,56,72.58,https://en.wikipedia.org/?curid=233546,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
293,candidate-0293-jensen-huang,Jensen Huang,1963,BUSINESSPERSON,Taiwan,M,36,68.39,https://en.wikipedia.org/?curid=2116495,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
193,candidate-0193-roger-milla,Roger Milla,1952,SOCCER PLAYER,Cameroon,M,55,72.46,https://en.wikipedia.org/?curid=426859,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
339,candidate-0339-walter-röhrl,Walter Röhrl,1947,RACING DRIVER,Germany,M,28,66.42,https://en.wikipedia.org/?curid=1614622,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
348,candidate-0348-jean-alesi,Jean Alesi,1964,RACING DRIVER,France,M,38,65.68,https://en.wikipedia.org/?curid=341553,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
365,candidate-0365-aziz-sancar,Aziz Sancar,1946,CHEMIST,Türkiye,M,73,65.05,https://en.wikipedia.org/?curid=5441415,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
44,candidate-0044-vin-diesel,Vin Diesel,1967,ACTOR,United States,M,98,78.43,https://en.wikipedia.org/?curid=415175,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
54,candidate-0054-tom-hanks,Tom Hanks,1956,ACTOR,United States,M,122,78.11,https://en.wikipedia.org/?curid=43568,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
272,candidate-0272-giuseppe-tornatore,Giuseppe Tornatore,1956,FILM DIRECTOR,Italy,M,57,69.56,https://en.wikipedia.org/?curid=430416,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
