candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
107,candidate-0107-björn-ulvaeus,Björn Ulvaeus,1945,MUSICIAN,Sweden,M,53,75.67,https://en.wikipedia.org/?curid=3740,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
212,candidate-0212-klaus-ebner,Klaus Ebner,1964,WRITER,Austria,M,86,71.90,https://en.wikipedia.org/?curid=14769322,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
269,candidate-0269-peter-jackson,Peter Jackson,1961,FILM DIRECTOR,New Zealand,M,88,69.83,https://en.wikipedia.org/?curid=19222532,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
232,candidate-0232-gheorghe-hagi,Gheorghe Hagi,1965,SOCCER PLAYER,Romania,M,62,71.37,https://en.wikipedia.org/?curid=12276,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
337,candidate-0337-michele-alboreto,Michele Alboreto,1956,RACING DRIVER,Italy,M,36,66.59,https://en.wikipedia.org/?curid=1018650,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
168,candidate-0168-jean-jacques-annaud,Jean-Jacques Annaud,1943,FILM DIRECTOR,France,M,53,73.14,https://en.wikipedia.org/?curid=445843,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
166,candidate-0166-mo-yan,Mo Yan,1955,WRITER,China,M,95,73.16,https://en.wikipedia.org/?curid=1052811,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
94,candidate-0094-charlotte-rampling,Charlotte Rampling,1946,ACTOR,United Kingdom,F,123,76.46,https://en.wikipedia.org/?curid=476099,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
90,candidate-0090-ben-affleck,Ben Affleck,1972,ACTOR,United States,M,93,76.63,https://en.wikipedia.org/?curid=159599,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
357,candidate-0357-elio-de-angelis,Elio de Angelis,1958,RACING DRIVER,Italy,M,31,65.38,https://en.wikipedia.org/?curid=1048978,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
319,candidate-0319-svetlana-gerasimenko,Svetlana Gerasimenko,1945,ASTRONOMER,Ukraine,F,36,67.19,https://en.wikipedia.org/?curid=44384039,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
171,candidate-0171-ludovico-einaudi,Ludovico Einaudi,1955,MUSICIAN,Italy,M,45,73.11,https://en.wikipedia.org/?curid=569555,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
