candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
28,candidate-0028-michael-schumacher,Michael Schumacher,1969,RACING DRIVER,Germany,M,145,80.17,https://en.wikipedia.org/?curid=20396,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
130,candidate-0130-frank-williams,Frank Williams,1942,BUSINESSPERSON,United Kingdom,M,35,74.52,https://en.wikipedia.org/?curid=995100,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
92,candidate-0092-herta-müller,Herta Müller,1953,WRITER,Romania,F,107,76.59,https://en.wikipedia.org/?curid=6151067,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
287,candidate-0287-daniel-libeskind,Daniel Libeskind,1946,ARCHITECT,Poland,M,38,68.69,https://en.wikipedia.org/?curid=217434,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
326,candidate-0326-ari-vatanen,Ari Vatanen,1952,RACING DRIVER,Finland,M,30,66.76,https://en.wikipedia.org/?curid=432801,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
81,candidate-0081-barry-white,Barry White,1944,SINGER,United States,M,51,76.76,https://en.wikipedia.org/?curid=56386,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
399,candidate-0399-ole-einar-bjørndalen,Ole Einar Bjørndalen,1974,ATHLETE,Norway,M,57,63.72,https://en.wikipedia.org/?curid=40377,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
320,candidate-0320-valentino-rossi,Valentino Rossi,1979,RACING DRIVER,Italy,M,59,67.10,https://en.wikipedia.org/?curid=180306,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
6,candidate-0006-michael-jackson,Michael Jackson,1958,MUSICIAN,United States,M,279,85.12,https://en.wikipedia.org/?curid=14995351,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
129,candidate-0129-syd-barrett,Syd Barrett,1946,MUSICIAN,United Kingdom,M,65,74.54,https://en.wikipedia.org/?curid=4740559,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
240,candidate-0240-dario-argento,Dario Argento,1940,FILM DIRECTOR,Italy,M,48,71.13,https://en.wikipedia.org/?curid=212068,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
196,candidate-0196-oliver-kahn,Oliver Kahn,1969,SOCCER PLAYER,Germany,M,75,72.34,https://en.wikipedia.org/?curid=347547,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
