candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
384,candidate-0384-leif-segerstam,Leif Segerstam,1944,CONDUCTOR,Finland,M,26,64.40,https://en.wikipedia.org/?curid=1289741,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
118,candidate-0118-eddie-jordan,Eddie Jordan,1948,BUSINESSPERSON,Ireland,M,38,75.29,https://en.wikipedia.org/?curid=697722,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
29,candidate-0029-nicolas-cage,Nicolas Cage,1964,ACTOR,United States,M,108,80.07,https://en.wikipedia.org/?curid=21111,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
369,candidate-0369-irena-szewińska,Irena Szewińska,1946,ATHLETE,Russia,F,45,64.82,https://en.wikipedia.org/?curid=1041694,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
286,candidate-0286-massimo-moratti,Massimo Moratti,1945,BUSINESSPERSON,Italy,M,34,68.71,https://en.wikipedia.org/?curid=2372588,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
139,candidate-0139-joe-cocker,Joe Cocker,1944,SINGER,United Kingdom,M,79,74.23,https://en.wikipedia.org/?curid=88371,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
400,candidate-0400-morten-p-meldal,Morten P. Meldal,1954,CHEMIST,Denmark,M,45,63.71,https://en.wikipedia.org/?curid=22099993,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
237,candidate-0237-wolfgang-petersen,Wolfgang Petersen,1941,FILM DIRECTOR,Germany,M,51,71.17,https://en.wikipedia.org/?curid=33230,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
324,candidate-0324-reinhard-genzel,Reinhard Genzel,1952,ASTRONOMER,Germany,M,56,66.82,https://en.wikipedia.org/?curid=14417038,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
395,candidate-0395-jan-timman,Jan Timman,1951,CHESS PLAYER,Netherlands,M,35,63.83,https://en.wikipedia.org/?curid=69125,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
88,candidate-0088-wim-wenders,Wim Wenders,1945,FILM DIRECTOR,Germany,M,63,76.64,https://en.wikipedia.org/?curid=32902,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
312,candidate-0312-rené-arnoux,René Arnoux,1948,RACING DRIVER,France,M,32,67.40,https://en.wikipedia.org/?curid=763767,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
