candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
316,candidate-0316-didier-pironi,Didier Pironi,1952,RACING DRIVER,France,M,30,67.32,https://en.wikipedia.org/?curid=1219767,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
299,candidate-0299-ben-johnson,Ben Johnson,1961,ATHLETE,Jamaica,M,40,67.98,https://en.wikipedia.org/?curid=438638,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
61,candidate-0061-mariah-carey,Mariah Carey,1969,SINGER,United States,F,112,77.86,https://en.wikipedia.org/?curid=19499,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
174,candidate-0174-richard-clayderman,Richard Clayderman,1953,MUSICIAN,France,M,51,73.07,https://en.wikipedia.org/?curid=458438,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
85,candidate-0085-sigourney-weaver,Sigourney Weaver,1949,ACTOR,United States,F,107,76.75,https://en.wikipedia.org/?curid=64965,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
178,candidate-0178-pak-sung-hyok,Pak Sung-hyok,1990,SOCCER PLAYER,North Korea,M,40,73.04,https://en.wikipedia.org/?curid=27538719,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
383,candidate-0383-pēteris-vasks,Pēteris Vasks,1946,COMPOSER,Latvia,M,27,64.41,https://en.wikipedia.org/?curid=973794,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
19,candidate-0019-stephen-king,Stephen King,1947,WRITER,United States,M,111,81.49,https://en.wikipedia.org/?curid=26954,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
379,candidate-0379-miki-matsubara,Miki Matsubara,1959,COMPOSER,Japan,F,27,64.53,https://en.wikipedia.org/?curid=30139197,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
180,candidate-0180-pak-chol-jin,Pak Chol-jin,1985,SOCCER PLAYER,North Korea,M,40,73.01,https://en.wikipedia.org/?curid=25362207,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
267,candidate-0267-gérard-mourou,Gérard Mourou,1944,PHYSICIST,France,M,56,69.96,https://en.wikipedia.org/?curid=2142322,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
268,candidate-0268-kane,Kane,1967,WRESTLER,Spain,M,45,69.86,https://en.wikipedia.org/?curid=311937,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
